bonsut2_0_code,coicop2018_code
C_MM_INCI_no_recov,04.4.2
C_MNF_INCI,04.4.2
C_MNF_INCI_no_recov,04.4.2
C_ONF_INCI,04.4.2
C_SE_INCI,04.4.2
C_SE_INCI_no_recov,04.4.2
C_ST_INCI,04.4.2
C_ST_INCI_no_recov,04.4.2
C_TE_INCI,03.1.4.2
C_TE_INCI_no_recov,03.1.4.2
C_UN_INCI,04.4.2
C_UN_INCI_no_recov,04.4.2
C_PM_INCI,04.4.2
C_BIOF,01.1
C_BIOP,04.4.2
C_BIOS,04.4.2
C_SE_biog,04.4.2
C_ORGA,13.9.0
C_SPORT,09.4.6
C_GAMB,09.4.7
C_Beef_all,01.1.2.2
C_RES_CARE,13.3.0
C_Ducks,01.1.2
C_Turkeys,01.1.2
C_TEXT_sort,03.1.4.2
C_LIB_MUSEUM,09.6.2
C_ForGrass_Sheep,01.3.0
C_Citr_nes,01.2.1
C_Goat,01.1.2
C_RESTAU,11.1
C_Meat_camel,01.1.2
C_REPAIR,05.3.3
C_ADVERT,13.9
C_STE_sort,04.4.2
C_ForGrass_Rabbits,01.3.0
C_COPP_sort,04.4.2
C_pSheepmeat,01.1.2
C_FABM_01_RES,13.2
C_Mapl_ups,01.1.4
C_Cattle,01.1.2.1
C_RATV,08.1.4
C_ALUM_01_RES,07
C_Sheep,01.1.2
C_RENT,04.1
C_Juic_nes,01.2.1
"C_TDMO|C_TDRT|C_TDWH|service, wholesale trade",07.2.3
C_PLA_sort,04.4.2
C_Othe_camel,01.1.2
C_REAL_OWNER,04.2
C_LEGAL|C_MANA,13.9.0
C_Yoght_add,01.1.4
C_PAP_sort,04.4.2
C_ForGrass_Shemilk,01.3.0
C_ForGrass_Cowmilk,01.3.0
C_Meat_pige,01.1.2.2
C_pBuffmeat,01.1.2
C_OFMA,08.1.9
C_WOOD_sort,04.4.2
C_pGoatmeat,01.1.2
C_Maizea_starch_all,01.1.1
C_TELEC,08.3.4
C_RES_CARE|C_SOWO,13.3.0
C_ACCOM,11.2.0
C_ACCOM|C_RESTAU,11
C_EMPLOY,13.9.0
C_GLA_sort,04.4.2
C_ForGrass_Pigs,01.3.0
C_VET,09.4.5
C_COMP|C_INFO,08.3
C_REAL_OTHER,13.9.0
C_Camel,01.1.2
C_PIC_VID_TV,08.3.9
C_COFFE_all,01.2.2
C_LEAD_sort,04.4.2
C_ForGrass_Horses,01.3.0
C_ForGrass_Bufmilk,01.3.0
C_PORK,01.1.2
C_REFN,07.2.2
C_ForGrass_Cattle,01.3.0
C_Oliv_ved,01.1.7
C_BUILD_LAND_serv|C_OFFICE_ADM|C_SECUR,05.6.2.9
C_Rabbits,01.1.2
C_Pigs,01.1.2.1
C_LEGAL,13.9.0
C_Buffaloes,01.1.2
C_Frui_nes,01.1.6
C_ALU_sort,04.4.2
C_ORGA|C_PERS_SER|C_REPAIR,13.9.0
C_Pork_saus,01.1.2
C_Root_nes,01.1.7
C_pCatmeat,01.1.2
C_PERS_SER,13.9.0
C_Goamilk,01.1.4
C_wheat_flour_other,01.1.1
C_BROAD_NEWS|C_PIC_VID_TV,08.3.9
C_RESERCH,13.9.0
C_Meat_pig_boneless,01.1.2
C_TWATR_ALL,07.3.4
C_MEIN,06.1.2
C_Flax_raw,05.2.1
C_Chickens,01.1.2
C_Rice_starch_all,01.1.1
C_Mule_les,01.1.2
C_RUBP_01_RES,07
C_ForGrass_Goamilk,01.3.0
C_BUILD|C_CIV_ENG,04.3.2.0
C_Flou_nes,01.1.1
C_Flou_oil_nes,01.1.7
C_ART|C_GAMB|C_LIB_MUSEUM,09.6
C_Dry_ilk,01.1.4
C_SE_wwater,04.4.3
C_Prmilk_other_pr,01.1.4
C_Verm_tcx,02.1.2
C_SECUR,13.9.0.9
C_TLAND_ALL,07.3.2
C_Oth_non_alcoh,01.2.2
C_BROAD_NEWS,08.3.9.1
C_Creah,01.1.4
C_Coffe_roas,01.2.2
C_Fat_cow,01.1.5
C_Frucr,01.1.8
